phase,tier,research_question,fixed_params,sweep_params,n_per_cell,combo_count,est_seconds_per_combo,est_total_seconds,est_total_human,output_dir,key_csv_fields,pass_fail_criteria,paper_metrics,status
0,pilot,Confirm real-backend pipeline mechanics/output schema/timing at a small cross-cut before any phase scales up; also exercises fair Top-K reuse at small scale,"iq_source=radioml, checkpoint=external/adversarial-rf/2016.10a_AWN.pkl, device=cpu, alignment_policy=max-energy(auto), awn_preprocess=radioml-native(auto), threshold_factor=1.5, sensing_window_size=128, min_region_len=0, merge_gap=0, num_bursts=1, seed=42, use_real_awn=True, use_real_attack=True, use_real_topk=True, attack_eps=0.05, attack_temperature=1.0(default), cw_c=1.0, cw_steps=20, cw_lr=0.01(defaults -- validated effective under radioml-native at scale, see risk R4)","dataset_mod in {QPSK,BPSK} (2) x dataset_snr in {0,18} (2) x attack in {none,fgsm,pgd,cw} (4) x topk in {10,20,30,40} (4)",2 (sample_index 0-1),128,2.0,256,~4-5 min,results/formal_pilot_phase0/,"run_status, awn_backend, attack_backend, topk_backend, awn_status, attack_status, topk_status, pred_clean, pred_attacked, pred_defended, changed_by_attack, recovered_by_defense, iq_linf_clean_attacked","run_status in {ok,sensing_failed} for all 128 combos; 0 error; 0 combo shows any *_backend != real path string (no dummy_* anywhere); iq_linf_clean_attacked identical across all 4 topk within each (mod,snr,idx,attack) group (fair-reuse check, same method as round 12)",none citable at this N (mechanics/validity check only),"done_round17 (128/128 ok, 0 error, 0 fairness violations -- see formal_experiment_plan.md section 8)"
1,default,"Spectrum-sensing detection quality (Pd, false alarm, boundary error, captured ratio) across the full modulation x SNR grid, real RadioML samples","iq_source=radioml, attack=none, use_real_awn=True, use_real_attack=False, use_real_topk=False, checkpoint pinned, device=cpu, alignment_policy=max-energy(auto), awn_preprocess=radioml-native(auto), threshold_factor=1.5, sensing_window_size=128, min_region_len=0, merge_gap=0, num_bursts=1, seed=42",dataset_mod: all 11 x dataset_snr: all 20,10 (adjustable: N=5 fast / N=20 high-power),2200,1.4,3080,~51 min,results/formal_phase1_sensing_clean_amc/,"detection_success, captured_signal_ratio, extra_captured_noise_ratio, start_boundary_error, end_boundary_error, missed_sample_count, false_occupied_sample_count, n_segments, pred_clean, dataset_mod, awn_backend","run_status in {ok,sensing_failed}, sensing_failed rows must carry failure_stage+failure_reason; 0 error; 0 dummy backend",detection_probability; false_alarm_region_rate; captured_signal_ratio; extra_captured_noise_ratio; start_boundary_error; end_boundary_error; missed_sample_count; false_occupied_sample_count; segment_count,"done_round18 (2200/2200 ok, 0 error, 0 sensing_failed, 92.1min actual -- see formal_experiment_plan.md section 9)"
2,default,"Clean AMC accuracy (direct oracle-slice vs sensing-based segment) across modulation x SNR -- ANALYSIS-ONLY, reuses Phase 1's output, no separate run",same as Phase 1 (this phase adds no new combos -- it re-reads Phase 1's summary.csv and joins pred_clean against docs/radioml_class_mapping.csv),none (post-hoc join),n/a,0,0,0,0 (reuses Phase 1 output),results/formal_phase1_sensing_clean_amc/ (shared with Phase 1),"pred_clean, dataset_mod, detection_success, captured_signal_ratio","every ok row must have a pred_clean in [0,10]; accuracy computed only over run_status=ok rows, sensing_failed rows counted separately as sensing-stage failures not AMC failures",direct_amc_accuracy; sensing_to_amc_end_to_end_accuracy,"done_round18 (analysis-only, computed inline from Phase1's 2200-row output -- direct_acc=0.5973 sensed_acc=0.5805 -- see formal_experiment_plan.md section 9.3)"
3,reduced,Adversarial attack effectiveness (success rate) across attack type x eps x modulation x SNR -- practical/reduced grid,"iq_source=radioml, use_real_awn=True, use_real_attack=True, use_real_topk=False, attack_temperature=1.0(default, validated effective under radioml-native at scale -- see risk R4), cw_c/steps/lr=defaults (1.0/20/0.01, validated 83-91% success at scale under radioml-native, see risk R4), same sensing defaults as Phase 1, seed=42","dataset_mod in {QPSK,BPSK,QAM16,8PSK,QAM64,WBFM} (6, diverse family coverage) x dataset_snr in {-10,-4,0,6,12,18} (6, spans the validated -20..18 range) x attack_eps in {0.01,0.03,0.05,0.1,0.3} (5, subset of round14's validated sweep) x attack in {fgsm,pgd} (2); PLUS attack=cw (no eps) at the same mod x snr grid",10,3960,1.8,7128,~2 hours,results/formal_phase3_attack_reduced/,"pred_clean, pred_attacked, changed_by_attack, iq_linf_clean_attacked, iq_linf_normalized_clean_attacked, attack_eps, attack_backend, attack_status, dataset_mod, dataset_snr","run_status in {ok,sensing_failed}; 0 error; 0 dummy backend; iq_linf_normalized_clean_attacked must equal requested attack_eps exactly for fgsm/pgd (round14 invariant, re-check not re-derive)",attack_success_rate; clean_accuracy; attacked_accuracy; pred_clean; pred_attacked,"done_round20_full (3960/3960 ok, 0 error, 0 fallback, 100% eval-mode restored, 100% eps-invariant, reproducible, 88.6min actual -- see formal_experiment_plan.md section 11; reduced-tier N=792 evidence in section 10 preserved unchanged)"
3,full,"Same research question as Phase 3 (reduced), full 11-modulation x 20-SNR grid -- thorough option, explicitly optional / schedule separately",same fixed params as Phase 3 (reduced),"dataset_mod: all 11 x dataset_snr: all 20 x attack_eps in {0.01,0.03,0.05,0.1,0.3} (5) x attack in {fgsm,pgd} (2); PLUS attack=cw at the same mod x snr grid",5,12100,1.8,21780,~6 hours,results/formal_phase3_attack_full/,same as Phase 3 reduced,same as Phase 3 reduced,same as Phase 3 reduced,designed_not_run_optional
4,reduced,"Top-K defense recovery rate across K x attack x eps x modulation x SNR -- practical/reduced grid, same attacked IQ reused across all 4 K values (fair comparison, round-12 method)",same as Phase 3 (reduced) plus use_real_topk=True,"Phase 3 (reduced)'s full combo set x topk in {10,20,30,40} (4)",10,15840,2.0,31680,~8.8 hours,results/formal_phase4_defense_reduced/,"pred_defended, recovered_by_defense, topk, topk_backend, topk_status, iq_linf_clean_attacked (fair-reuse check)","run_status in {ok,sensing_failed}; 0 error; 0 dummy backend; iq_linf_clean_attacked identical across all 4 topk within each (mod,snr,idx,attack,eps) group",defense_recovery_rate; defended_accuracy; pred_defended,"audited_round21 (runner built, dry-run 15840 confirmed, smoke test 64/64 ok reproducible -- reduced-tier N=3168 designed+dry-run only, NOT executed -- see formal_experiment_plan.md section 12)"
4,quick,"Same research question as Phase 4, small/quick tier for a first look before committing to the 8.8-hour reduced tier",same fixed params as Phase 4 (reduced),"dataset_mod in {QPSK,BPSK,QAM16} (3) x dataset_snr in {0,10,18} (3) x attack_eps in {0.03,0.05,0.1} (3) x attack in {fgsm,pgd} (2); PLUS attack=cw at the same mod x snr grid; x topk in {10,20,30,40} (4)",10,2520,2.0,5040,~1.4 hours,results/formal_phase4_defense_quick/,same as Phase 4 reduced,same as Phase 4 reduced,same as Phase 4 reduced,designed_not_run
5,default,"Spectrum-sensing parameter sensitivity (threshold_factor / sensing_window_size / min_region_len / merge_gap) -- REUSE existing round-13 evidence, no new run required by default","n/a -- this phase's default action is a write-up citing results/sensing_revalidation_after_alignment/ (528 combos already run: 210 threshold_factor + 150 sensing_window_size + 150 min_region_len + 18 merge_gap, real AWN, max-energy/radioml-native, seed=42, md section 22)",none by default; OPTIONAL elective expansion below,n/a,0,0,0,0 (reuse existing results),results/sensing_revalidation_after_alignment/ (existing),already documented in md section 22 / CSV rows sensing_revalidation_*,already passed -- 0 error across all 528 existing combos,threshold_factor_sensitivity; sensing_window_size_sensitivity; min_region_len_sensitivity; merge_gap_sensitivity,already_done_reuse
5,elective_expansion,"OPTIONAL: expand Phase 5 from 3 modulations to all 11, only if reviewers/paper scope require broader sensing-sensitivity evidence","same fixed params as round 13's revalidation (threshold_factor sweep only, the largest of the 4 sub-sweeps)","dataset_mod: all 11 x dataset_snr in {0,18} (2) x threshold_factor in {0.8,1.0,1.2,1.5,2.0,3.0,5.0} (7)",5,770,1.4,1078,~18 min,results/formal_phase5_sensing_sensitivity_expanded/,same as round 13 sensing_parameter_summary.csv schema,same as round 13,threshold_factor_sensitivity (broader modulation coverage),designed_not_run_optional
6,default,"Multi-burst extension: does real attack + Top-K defense generalize to a 2-burst scene, and does merge-gap behave correctly under attack (never tested together before)","iq_source=radioml, num_bursts=2, use_real_awn=True, use_real_attack=True, use_real_topk=True, attack_eps=0.05, topk=20, same sensing defaults as Phase 1, min_burst_gap=max_burst_gap (deterministic gap per case), seed=42","dataset_mod_list pairs in {[QPSK,QPSK],[QPSK,BPSK],[QAM16,8PSK]} (3) x burst_gap in {20(merge case, <merge_gap),200(separate case, >merge_gap)} (2) x attack in {none,fgsm} (2)",5 (sample_index_list drawn per burst),60,1.8,108,~2 min,results/formal_phase6_multiburst_extension/,"num_truth_bursts, num_detected_regions, detection_probability, region_matched_burst_ids, pred_attacked, pred_defended, recovered_by_defense","run_status in {ok,sensing_failed}; 0 error; region-merge outcome matches the gap<=merge_gap prediction (round13 section 22.6 invariant, re-check not re-derive)",multiburst_detection_probability; multiburst_defense_recovery_rate,designed_not_run
